,program,nfrags,fraglen,qual_shift,alpha,predicted_phred,predicted_error,n_matches,n_mismatches,n_total,p_mismatch,p_mismatch_lower,p_mismatch_upper,observed_phred,observed_phred_lower,observed_phred_upper
13,seqtk_adna_trim,100000000,120,-20,0.01,13,0.05011872336272722,72110084,2522012,74632096,0.0337925923988521,0.03373873881252165,0.03384650542195888,14.71178490044284,14.704861646244947,14.71871155801418
14,seqtk_adna_trim,100000000,120,-20,0.01,14,0.039810717055349734,115509699,2189448,117699147,0.01860207194194874,0.01857000720186075,0.01863417559887337,17.30438680360548,17.29689816260288,17.311879278311523
15,seqtk_adna_trim,100000000,120,-20,0.01,15,0.03162277660168379,73078042,870273,73948315,0.011768665722809235,0.011736387143890359,0.01180100712933374,19.29272772676431,19.28080927266109,19.30465573015987
16,seqtk_adna_trim,100000000,120,-20,0.01,16,0.025118864315095794,96460029,659299,97119328,0.006788545736230794,0.006767102582200257,0.006810037218295983,21.682232516951633,21.668505145693878,21.69597240016333
17,seqtk_adna_trim,100000000,120,-20,0.01,17,0.0199526231496888,157100446,812800,157913246,0.005147129962739161,0.005132473739970167,0.005161816005989861,22.884348658691437,22.871974800338105,22.896732639963822
18,seqtk_adna_trim,100000000,120,-20,0.01,18,0.015848931924611134,8330019466,11270333,8341289799,0.001351149914651227,0.0013501141417074924,0.0013521862563469211,28.692964618634438,28.6896348255685,28.696295137137106
0,seqtk_adna_trim,100000000,120,-5,0.01,0,1.0,3885955,3918974,7804929,0.50211526587878,0.5016542029820071,0.5025763261968337,2.9919657451067634,2.9879797265595602,2.9959554477660477
1,seqtk_adna_trim,100000000,120,-5,0.01,1,0.7943282347242815,1582030,1302038,2884068,0.45145884216322224,0.45070395610105063,0.45221388839117505,3.4538183657119865,3.446561037354029,3.461086298471151
2,seqtk_adna_trim,100000000,120,-5,0.01,2,0.6309573444801932,1036127,669390,1705517,0.3924850939627104,0.39152198470176347,0.3934488031843023,4.061768325051482,4.051117714144402,4.0724384646276155
3,seqtk_adna_trim,100000000,120,-5,0.01,3,0.5011872336272722,746987,379723,1126710,0.33701928624047006,0.3358724656035448,0.33816748371846805,4.7234524551397685,4.708681540432693,4.738255976069273
4,seqtk_adna_trim,100000000,120,-5,0.01,4,0.3981071705534972,1030524,410180,1440704,0.2847080316289814,0.28373996018656555,0.2856775253862882,5.456002812093947,5.441239247717803,5.47079496539663
5,seqtk_adna_trim,100000000,120,-5,0.01,5,0.31622776601683794,812109,256794,1068903,0.24024069536711937,0.2391769750726136,0.24130672892092198,6.1935342375918445,6.174305674717361,6.212806310390281
6,seqtk_adna_trim,100000000,120,-5,0.01,6,0.251188643150958,271578,68084,339662,0.20044632605354734,0.19867969988634782,0.20222135173920353,6.980018994498458,6.941729909163751,7.0184650469554555
7,seqtk_adna_trim,100000000,120,-5,0.01,7,0.19952623149688797,642748,127798,770546,0.16585382313320685,0.16476379584145429,0.16694797921499038,7.802745130108333,7.774188333996088,7.831382112894952
8,seqtk_adna_trim,100000000,120,-5,0.01,8,0.15848931924611134,343276,54312,397588,0.13660372043421834,0.13520388619196877,0.13801226056664628,8.645374723818051,8.600823305558794,8.690108252030239
9,seqtk_adna_trim,100000000,120,-5,0.01,9,0.12589254117941673,2124758,147954,2272712,0.06510019747332702,0.06467936777642436,0.06552284891113536,11.864176940516824,11.836072278610816,11.892342338576611
10,seqtk_adna_trim,100000000,120,-5,0.01,10,0.1,4677506,121117,4798623,0.025239949043715248,0.025055876936252885,0.025424963096190467,15.979115262129914,15.947396687742433,16.010903926855903
11,seqtk_adna_trim,100000000,120,-5,0.01,11,0.07943282347242814,14458867,153589,14612456,0.01051082720112211,0.010442232922956651,0.010579740374151103,19.78363103691457,19.755249897164294,19.812066237065544
12,seqtk_adna_trim,100000000,120,-5,0.01,12,0.06309573444801933,1000700,62245,1062945,0.05855900352323027,0.05797389235187855,0.05914806992945698,12.324063221143591,12.280594223405716,12.367675402330958
13,seqtk_adna_trim,100000000,120,-5,0.01,13,0.05011872336272722,3053271,101145,3154416,0.0320645723328819,0.031809618113062044,0.03232093898736388,14.939745481904689,14.90516030598349,14.974415447368813
14,seqtk_adna_trim,100000000,120,-5,0.01,14,0.039810717055349734,1066072,41333,1107405,0.03732419485192861,0.036861751937326104,0.03779061777564596,14.280095519923812,14.2261600847036,14.334240278084163
15,seqtk_adna_trim,100000000,120,-5,0.01,15,0.03162277660168379,1337598,41495,1379093,0.030088616213699872,0.029715171914718064,0.030465306396718628,15.215977851603348,15.161944497162711,15.270217528229873
16,seqtk_adna_trim,100000000,120,-5,0.01,16,0.025118864315095794,1268496,15466,1283962,0.012045527827147533,0.011798963437803622,0.012295715486313474,19.191741647486523,19.102461946424725,19.281561446443625
17,seqtk_adna_trim,100000000,120,-5,0.01,17,0.0199526231496888,1326549,23126,1349675,0.017134495341471094,0.01684809722146363,0.017424303037344324,17.661286822257633,17.5884458442588,17.73449140067459
18,seqtk_adna_trim,100000000,120,-5,0.01,18,0.015848931924611134,4218053,33465,4251518,0.007871306201690784,0.007761343502460605,0.007982371720913983,21.039531927850632,20.978680519738408,21.10063095081785
19,seqtk_adna_trim,100000000,120,-5,0.01,19,0.012589254117941675,5569728,44623,5614351,0.00794802462475182,0.0078518221041457,0.008045061970224476,20.997407960190337,20.94470606229603,21.050295486113953
20,seqtk_adna_trim,100000000,120,-5,0.01,20,0.01,11508458,47125,11555583,0.0040781153144761285,0.0040299854963408155,0.004126653912411293,23.89540498093776,23.84401952308089,23.94696516854048
21,seqtk_adna_trim,100000000,120,-5,0.01,21,0.007943282347242814,8104475,35490,8139965,0.004359969606748924,0.004300714041262754,0.004419805260681753,23.60516538178028,23.54596865509391,23.664594331562814
22,seqtk_adna_trim,100000000,120,-5,0.01,22,0.00630957344480193,35810898,171647,35982545,0.004770285147979388,0.004740749445654946,0.00479995186662896,23.214556598503194,23.187631176582148,23.24152997063433
